YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20180215;1200;0.05;0.38;2.10;2;5
20180216;1200;0.02;0.19;0.70;2;5
20180217;1200;0.00;0.04;0.00;2;5
20180218;1200;0.00;0.03;0.00;2;5
20180219;1200;-0.01;0.01;0.00;2;5
20180220;1200;-0.01;0.01;0.00;2;5
20180221;1200;-0.01;0.01;0.00;2;5
20180222;1200;-0.01;0.01;0.00;2;5
20180223;1200;0.09;0.64;2.10;2;5
20180224;1200;-0.01;0.01;0.00;2;5
20180225;1200;-0.01;0.01;0.00;2;5
20180226;1200;-0.01;0.01;0.00;2;5
20180227;1200;-0.01;0.01;0.00;2;5
20180228;1200;0.02;0.10;0.00;2;5
20180301;1200;0.00;0.05;0.00;2;5
20180302;1200;0.00;0.06;0.00;2;5
20180303;1200;-0.01;0.09;0.00;2;5
20180304;1200;-0.01;0.02;0.00;2;5
20180305;1200;-0.01;0.01;0.00;2;5
20180306;1200;-0.01;0.01;0.00;2;5
20180307;1200;0.03;0.17;1.40;2;5
20180308;1200;0.49;1.08;18.80;2;5
20180309;1200;0.36;1.48;8.30;2;5
20180310;1200;-0.02;0.01;0.00;2;5
20180311;1200;0.00;0.10;0.70;2;5
20180312;1200;-0.02;0.01;0.00;2;5
20180313;1200;2.66;7.32;25.70;2;5
20180314;1200;-0.03;0.04;0.00;2;5
20180315;1200;-0.02;0.02;0.00;2;5
20180316;1200;-0.02;0.02;0.00;2;5
20180317;1200;0.09;0.89;1.40;2;5
20180318;1200;-0.01;0.05;0.00;2;5
20180319;1200;0.14;1.00;1.40;2;5
20180320;1200;0.00;0.18;0.70;2;5
20180321;1200;-0.02;0.04;0.00;2;5
20180322;1200;-0.02;0.07;0.00;2;5
20180323;1200;-0.03;0.02;0.00;2;5
20180324;1200;-0.03;0.02;0.00;2;5
20180325;1200;-0.03;0.02;0.00;2;5
20180326;1200;-0.02;0.05;0.00;2;5
20180327;1200;-0.03;0.02;0.00;2;5
20180328;1200;0.33;1.17;9.00;2;5
20180329;1200;0.07;0.62;2.80;2;5
20180330;1200;-0.03;0.06;0.00;2;5
20180331;1200;0.00;0.06;0.00;2;5
20180401;1200;-0.01;0.01;0.00;2;5
20180402;1200;0.03;0.30;0.70;2;5
20180403;1200;0.00;0.02;0.00;2;5
20180404;1200;-0.01;0.01;0.00;2;5
20180405;1200;-0.01;0.01;0.00;2;5
20180406;1200;0.06;0.61;0.70;2;5
20180407;1200;-0.01;0.01;0.00;2;5
20180408;1200;0.00;0.01;0.00;2;5
20180409;1200;0.00;0.01;0.00;2;5
20180410;1200;-0.01;0.02;0.00;2;5
20180411;1200;0.53;2.40;8.30;2;5
20180412;1200;0.06;0.44;2.10;2;5
20180413;1200;0.05;0.49;0.70;2;5
20180414;1200;-0.01;0.02;0.00;2;5
20180415;1200;-0.01;0.01;0.00;2;5
20180416;1200;0.23;1.75;3.50;2;5
20180417;1200;0.63;2.14;9.00;2;5
20180418;1200;-0.03;0.01;0.00;2;5
20180419;1200;-0.03;0.01;0.00;2;5
20180420;1200;-0.03;0.01;0.00;2;5
20180421;1200;0.01;0.18;0.70;2;5
20180422;1200;-0.01;0.07;0.00;2;5
20180423;1200;-0.01;0.06;0.00;2;5
20180424;1200;0.07;0.59;2.80;2;5
20180425;1200;0.13;0.85;2.80;2;5
20180426;1200;0.08;0.56;2.10;2;5
20180427;1200;-0.02;0.01;0.00;2;5
20180428;1200;-0.02;0.01;0.00;2;5
20180429;1200;0.00;0.16;0.70;2;5
20180430;1200;-0.02;0.01;0.00;2;5
20180501;1200;-0.02;0.01;0.00;2;5
20180502;1200;-0.01;0.01;0.00;2;5
20180503;1200;-0.01;0.08;0.00;2;5
20180504;1200;-0.01;0.05;0.00;2;5
20180505;1200;-0.03;0.01;0.00;2;5
20180506;1200;-0.02;0.02;0.00;2;5
20180507;1200;-0.02;0.05;0.00;2;5
20180508;1200;-0.02;0.01;0.00;2;5
20180509;1200;0.02;0.24;1.40;2;5
20180510;1200;0.18;1.25;2.10;2;5
20180511;1200;1.55;5.10;16.70;2;5
20180512;1200;-0.02;0.17;0.70;2;5
20180513;1200;0.11;1.03;1.40;2;5
20180514;1200;0.11;0.69;2.10;2;5
20180515;1200;-0.02;0.02;0.00;2;5
20180516;1200;0.00;0.03;0.00;2;5
20180517;1200;-0.01;0.03;0.00;2;5
20180518;1200;-0.01;0.02;0.00;2;5
20180519;1200;-0.02;0.05;0.00;2;5
20180520;1200;0.00;0.06;0.00;2;5
20180521;1200;0.31;1.39;4.90;2;5
20180522;1200;-0.02;0.01;0.00;2;5
20180523;1200;-0.02;0.01;0.00;2;5
20180524;1200;-0.03;0.02;0.00;2;5
20180525;1200;-0.03;0.01;0.00;2;5
20180526;1200;0.49;2.25;9.00;2;5
20180527;1200;1.16;5.17;11.10;2;5
20180528;1200;-0.01;0.10;0.70;2;5
20180529;1200;-0.02;0.02;0.00;2;5
20180530;1200;0.02;0.21;1.40;2;5
20180531;1200;0.01;0.13;0.70;2;5
20180601;1200;-0.03;0.02;0.00;2;5
20180602;1200;-0.01;0.08;0.00;2;5
20180603;1200;-0.01;0.01;0.00;2;5
20180604;1200;0.36;1.89;6.90;2;5
20180605;1200;-0.02;0.01;0.00;2;5
20180606;1200;-0.02;0.01;0.00;2;5
20180607;1200;-0.01;0.01;0.00;2;5
20180608;1200;-0.01;0.01;0.00;2;5
20180609;1200;0.71;2.66;12.50;2;5
20180610;1200;-0.03;0.08;0.00;2;5
20180611;1200;-0.01;0.01;0.00;2;5
20180612;1200;-0.01;0.01;0.00;2;5
20180613;1200;-0.01;0.01;0.00;2;5
20180614;1200;-0.01;0.01;0.00;2;5
20180615;1200;-0.01;0.01;0.00;2;5
20180616;1200;-0.01;0.01;0.00;2;5
20180617;1200;0.01;0.14;1.40;2;5
20180618;1200;0.00;0.01;0.00;2;5
20180619;1200;0.01;0.14;0.70;2;5
20180620;1200;-0.01;0.01;0.00;2;5
20180621;1200;0.03;0.20;0.70;2;5
20180622;1200;0.18;0.76;6.20;2;5
20180623;1200;0.09;0.38;2.10;2;5
20180624;1200;0.00;0.08;0.00;2;5
20180625;1200;-0.01;0.02;0.00;2;5
20180626;1200;-0.01;0.03;0.00;2;5
20180627;1200;0.13;0.96;2.80;2;5
20180628;1200;0.00;0.04;0.00;2;5
20180629;1200;0.07;0.54;2.10;2;5
20180630;1200;-0.01;0.03;0.00;2;5
20180701;1200;0.03;0.13;0.00;2;5
20180702;1200;-0.01;0.01;0.00;2;5
20180703;1200;0.00;0.07;0.00;2;5
20180704;1200;0.00;0.01;0.00;2;5
20180705;1200;0.00;0.03;0.00;2;5
20180706;1200;-0.01;0.01;0.00;2;5
20180707;1200;-0.01;0.01;0.00;2;5
20180708;1200;-0.01;0.01;0.00;2;5
20180709;1200;-0.01;0.01;0.00;2;5
20180710;1200;-0.01;0.01;0.00;2;5
20180711;1200;0.03;0.26;1.40;2;5
20180712;1200;-0.01;0.01;0.00;2;5
20180713;1200;0.23;2.08;2.10;2;5
20180714;1200;0.07;0.44;2.80;2;5
20180715;1200;0.00;0.06;0.00;2;5
20180716;1200;-0.01;0.02;0.00;2;5
20180717;1200;0.00;0.06;0.00;2;5
20180718;1200;-0.02;0.01;0.00;2;5
20180719;1200;-0.02;0.01;0.00;2;5
20180720;1200;-0.01;0.01;0.00;2;5
20180721;1200;0.03;0.26;1.40;2;5
20180722;1200;0.21;1.40;2.80;2;5
20180723;1200;-0.02;0.01;0.00;2;5
20180724;1200;-0.02;0.01;0.00;2;5
20180725;1200;-0.02;0.01;0.00;2;5
20180726;1200;-0.02;0.01;0.00;2;5
20180727;1200;-0.02;0.01;0.00;2;5
20180728;1200;-0.02;0.01;0.00;2;5
20180729;1200;-0.02;0.01;0.00;2;5
20180730;1200;0.03;0.39;1.40;2;5
20180731;1200;-0.02;0.02;0.00;2;5
20180801;1200;-0.01;0.01;0.00;2;5
20180802;1200;-0.01;0.01;0.00;2;5
20180803;1200;-0.01;0.01;0.00;2;5
20180804;1200;0.03;0.22;1.40;2;5
20180805;1200;-0.01;0.04;0.00;2;5
20180806;1200;-0.01;0.01;0.00;2;5
20180807;1200;-0.01;0.02;0.00;2;5
20180808;1200;-0.01;0.01;0.00;2;5
20180809;1200;-0.01;0.01;0.00;2;5
20180810;1200;-0.01;0.01;0.00;2;5
20180811;1200;-0.01;0.01;0.00;2;5
20180812;1200;-0.01;0.01;0.00;2;5
20180813;1200;0.42;3.03;3.50;2;5
20180814;1200;-0.01;0.03;0.00;2;5
20180815;1200;-0.01;0.01;0.00;2;5
20180816;1200;-0.01;0.01;0.00;2;5
20180817;1200;-0.01;0.01;0.00;2;5
20180818;1200;-0.01;0.01;0.00;2;5
20180819;1200;-0.01;0.03;0.00;2;5
20180820;1200;0.27;0.75;8.30;2;5
20180821;1200;0.02;0.27;1.40;2;5
20180822;1200;0.48;3.26;3.50;2;5
20180823;1200;0.09;0.79;1.40;2;5
20180824;1200;0.00;0.01;0.00;2;5
20180825;1200;0.00;0.05;0.00;2;5
20180826;1200;0.00;0.03;0.00;2;5
20180827;1200;0.00;0.01;0.00;2;5
20180828;1200;0.00;0.01;0.00;2;5
20180829;1200;0.00;0.01;0.00;2;5
20180830;1200;0.00;0.01;0.00;2;5
20180831;1200;0.00;0.02;0.00;2;5
20180901;1200;0.00;0.01;0.00;2;5
20180902;1200;-0.02;0.15;0.70;2;5
20180903;1200;0.00;0.01;0.00;2;5
20180904;1200;0.02;0.09;0.00;2;5
20180905;1200;-0.01;0.02;0.00;2;5
20180906;1200;0.25;1.99;2.80;2;5
20180907;1200;0.02;0.23;1.40;2;5
20180908;1200;-0.01;0.01;0.00;2;5
20180909;1200;-0.01;0.01;0.00;2;5
20180910;1200;-0.02;0.01;0.00;2;5
20180911;1200;-0.01;0.01;0.00;2;5
20180912;1200;-0.01;0.01;0.00;2;5
20180913;1200;-0.01;0.01;0.00;2;5
20180914;1200;0.02;0.17;1.40;2;5
20180915;1200;-0.01;0.01;0.00;2;5
20180916;1200;0.14;1.02;2.80;2;5
20180917;1200;-0.01;0.01;0.00;2;5
20180918;1200;-0.01;0.01;0.00;2;5
20180919;1200;0.00;0.10;0.70;2;5
20180920;1200;-0.01;0.01;0.00;2;5
20180921;1200;-0.01;0.01;0.00;2;5
20180922;1200;-0.01;0.01;0.00;2;5
20180923;1200;0.00;0.02;0.00;2;5
20180924;1200;0.00;0.04;0.00;2;5
20180925;1200;-0.01;0.01;0.00;2;5
20180926;1200;-0.01;0.01;0.00;2;5
20180927;1200;0.00;0.07;0.00;2;5
20180928;1200;0.00;0.03;0.00;2;5
20180929;1200;-0.01;0.01;0.00;2;5
20180930;1200;0.00;0.01;0.00;2;5
20181001;1200;-0.01;0.01;0.00;2;5
20181002;1200;-0.01;0.01;0.00;2;5
20181003;1200;-0.01;0.01;0.00;2;5
20181004;1200;-0.01;0.01;0.00;2;5
20181005;1200;-0.01;0.01;0.00;2;5
20181006;1200;-0.01;0.01;0.00;2;5
20181007;1200;0.15;0.54;6.20;2;5
20181008;1200;0.10;0.30;2.80;2;5
20181009;1200;0.38;1.36;7.60;2;5
20181010;1200;0.08;0.41;1.40;2;5
20181011;1200;0.01;0.15;0.70;2;5
20181012;1200;-0.01;0.01;0.00;2;5
20181013;1200;-0.01;0.01;0.00;2;5
20181014;1200;0.06;0.47;2.10;2;5
20181015;1200;0.29;1.70;3.50;2;5
20181016;1200;1.76;4.66;24.30;2;5
20181017;1200;0.35;1.16;10.40;2;5
20181018;1200;1.36;4.19;25.70;2;5
20181019;1200;-0.01;0.01;0.00;2;5
20181020;1200;0.75;4.47;6.90;2;5
20181021;1200;-0.02;0.01;0.00;2;5
20181022;1200;-0.02;0.02;0.00;2;5
20181023;1200;-0.02;0.01;0.00;2;5
20181024;1200;-0.01;0.01;0.00;2;5
20181025;1200;0.08;0.30;2.80;2;5
20181026;1200;0.00;0.04;0.00;2;5
20181027;1200;-0.01;0.01;0.00;2;5
20181028;1200;-0.01;0.03;0.00;2;5
20181029;1200;1.39;2.18;34.00;2;5
20181030;1200;0.00;0.09;0.00;2;5
20181031;1200;0.66;1.63;16.70;2;5
20181101;1200;0.03;0.24;0.70;2;5
20181102;1200;-0.01;0.01;0.00;2;5
20181103;1200;-0.01;0.01;0.00;2;5
20181104;1200;-0.01;0.01;0.00;2;5
20181105;1200;-0.01;0.01;0.00;2;5
20181106;1200;-0.01;0.01;0.00;2;5
20181107;1200;-0.02;0.01;0.00;2;5
20181108;1200;0.12;1.08;1.40;2;5
20181109;1200;-0.02;0.01;0.00;2;5
20181110;1200;0.09;0.74;1.40;2;5
20181111;1200;0.29;1.66;4.90;2;5
20181112;1200;0.00;0.01;0.00;2;5
20181113;1200;0.00;0.05;0.00;2;5
20181114;1200;0.23;1.91;1.40;2;5
20181115;1200;-0.02;0.02;0.00;2;5
20181116;1200;-0.02;0.01;0.00;2;5
20181117;1200;-0.01;0.01;0.00;2;5
20181118;1200;-0.02;0.02;0.00;2;5
20181119;1200;-0.02;0.01;0.00;2;5
20181120;1200;-0.02;0.01;0.00;2;5
20181121;1200;-0.02;0.01;0.00;2;5
20181122;1200;0.05;0.54;1.40;2;5
20181123;1200;-0.02;0.01;0.00;2;5
20181124;1200;-0.02;0.02;0.00;2;5
20181125;1200;-0.02;0.04;0.00;2;5
20181126;1200;-0.01;0.06;0.00;2;5
20181127;1200;-0.01;0.01;0.00;2;5
20181128;1200;0.12;1.03;2.10;2;5
20181129;1200;-9.99;-9.99;-9.99;0;0
20181130;1200;-9.99;-9.99;-9.99;0;0
20181201;1200;0.00;0.34;1.00;2;1
20181202;1200;0.21;0.86;9.00;2;1
20181203;1200;0.52;3.35;14.00;2;1
20181204;1200;7.78;10.83;58.00;2;1
20181205;1200;0.64;3.52;12.00;2;1
20181206;1200;0.26;2.79;3.00;2;1
20181207;1200;0.00;0.34;3.00;2;1
20181208;1200;0.26;2.11;6.00;2;1
20181209;1200;0.00;0.21;1.00;2;1
20181210;1200;0.00;0.17;0.00;2;1
20181211;1200;0.00;0.30;1.00;2;1
20181212;1200;0.00;0.17;0.00;2;1
20181213;1200;0.00;0.13;0.00;2;1
20181214;1200;0.00;0.13;0.00;2;1
20181215;1200;0.00;0.13;0.00;2;1
20181216;1200;0.00;0.17;0.00;2;1
20181217;1200;0.00;0.17;0.00;2;1
20181218;1200;0.04;0.47;1.00;2;1
20181219;1200;0.00;0.13;0.00;2;1
20181220;1200;0.00;0.17;0.00;2;1
20181221;1200;0.00;0.17;1.00;2;1
20181222;1200;0.09;1.25;1.00;2;1
20181223;1200;0.00;0.17;0.00;2;1
20181224;1200;0.00;0.17;0.00;2;1
20181225;1200;0.00;0.17;0.00;2;1
20181226;1200;0.00;0.17;0.00;2;1
20181227;1200;0.00;0.17;0.00;2;1
20181228;1200;1.07;3.91;22.00;2;1
20181229;1200;-0.04;0.26;0.00;2;1
20181230;1200;0.00;0.26;0.00;2;1
20181231;1200;0.00;0.21;0.00;2;1
