YYYYMMDD;HHMM;SSS;ID;Q;S
20210728;1200;37.148;24;2;1
20210729;1200;37.157;24;2;1
20210730;1200;37.151;24;2;1
20210731;1200;37.133;24;2;1
20210801;1200;37.120;24;2;1
20210802;1200;37.129;24;2;1
20210803;1200;37.156;24;2;1
20210804;1200;37.178;24;2;1
20210805;1200;37.194;24;2;1
20210806;1200;37.220;24;2;1
20210807;1200;37.216;24;2;1
20210808;1200;37.199;24;2;1
20210809;1200;37.203;24;2;1
20210810;1200;37.197;24;2;1
20210811;1200;37.192;24;2;1
20210812;1200;37.195;24;2;1
20210813;1200;37.211;24;2;1
20210814;1200;37.197;24;2;1
20210815;1200;37.197;24;2;1
20210816;1200;37.189;24;2;1
20210817;1200;37.189;24;2;1
20210818;1200;36.455;24;2;1
20210819;1200;36.435;24;2;1
20210820;1200;36.480;24;2;1
20210821;1200;36.473;24;2;1
20210822;1200;36.441;24;2;1
20210823;1200;36.461;24;2;1
20210824;1200;36.470;24;2;1
20210825;1200;36.461;24;2;1
20210826;1200;36.447;24;2;1
20210827;1200;36.437;24;2;1
20210828;1200;36.440;24;2;1
20210829;1200;36.452;24;2;1
20210830;1200;36.439;24;2;1
20210831;1200;36.443;24;2;1
20210901;1200;36.426;24;2;1
20210902;1200;36.425;24;2;1
20210903;1200;36.430;24;2;1
20210904;1200;36.453;24;2;1
20210905;1200;36.457;24;2;1
20210906;1200;36.441;24;2;1
20210907;1200;36.480;24;2;1
20210908;1200;36.464;24;2;1
20210909;1200;36.556;24;2;1
20210910;1200;36.480;24;2;1
20210911;1200;36.477;24;2;1
20210912;1200;36.469;24;2;1
20210913;1200;36.483;24;2;1
20210914;1200;36.483;24;2;1
20210915;1200;36.552;24;2;1
20210916;1200;36.548;24;2;1
20210917;1200;36.539;24;2;1
20210918;1200;36.554;24;2;1
20210919;1200;36.544;24;2;1
20210920;1200;36.553;24;2;1
20210921;1200;36.541;24;2;1
20210922;1200;36.545;24;2;1
20210923;1200;36.566;24;2;1
20210924;1200;36.560;24;2;1
20210925;1200;36.555;24;2;1
20210926;1200;36.548;24;2;1
20210927;1200;36.541;24;2;1
20210928;1200;36.545;24;2;1
20210929;1200;36.551;24;2;1
20210930;1200;36.558;24;2;1
20211001;1200;36.564;24;2;1
20211002;1200;36.565;24;2;1
20211003;1200;36.565;24;2;1
20211004;1200;36.568;24;2;1
20211005;1200;36.571;24;2;1
20211006;1200;36.568;24;2;1
20211007;1200;36.569;24;2;1
20211008;1200;36.580;24;2;1
20211009;1200;36.585;24;2;1
20211010;1200;36.573;24;2;1
20211011;1200;36.555;24;2;1
20211012;1200;36.546;24;2;1
20211013;1200;36.535;24;2;1
20211014;1200;36.545;24;2;1
20211015;1200;36.547;24;2;1
20211016;1200;36.545;24;2;1
20211017;1200;36.488;24;2;1
20211018;1200;36.471;24;2;1
20211019;1200;36.458;24;2;1
20211020;1200;36.442;24;2;1
20211021;1200;36.458;24;2;1
20211022;1200;36.462;24;2;1
20211023;1200;36.467;24;2;1
20211024;1200;36.459;24;2;1
20211025;1200;36.451;24;2;1
20211026;1200;36.480;24;2;1
20211027;1200;36.479;24;2;1
20211028;1200;36.483;24;2;1
20211029;1200;36.474;24;2;1
20211030;1200;36.470;24;2;1
20211031;1200;36.468;24;2;1
20211101;1200;36.466;24;2;1
20211102;1200;36.463;24;2;1
20211103;1200;36.465;24;2;1
20211104;1200;36.469;24;2;1
20211105;1200;36.475;24;2;1
20211106;1200;36.480;24;2;1
20211107;1200;36.486;24;2;1
20211108;1200;36.492;24;2;1
20211109;1200;36.488;24;2;1
20211110;1200;36.473;24;2;1
20211111;1200;36.465;24;2;1
20211112;1200;36.467;24;2;1
20211113;1200;36.486;24;2;1
20211114;1200;36.506;24;2;1
20211115;1200;36.557;24;2;1
20211116;1200;36.574;24;2;1
20211117;1200;36.556;24;2;1
20211118;1200;36.546;24;2;1
20211119;1200;36.551;24;2;1
20211120;1200;36.522;24;2;1
20211121;1200;36.504;24;2;1
20211122;1200;36.479;24;2;1
20211123;1200;36.477;24;2;1
20211124;1200;36.483;24;2;1
20211125;1200;36.465;24;2;1
20211126;1200;36.445;24;2;1
20211127;1200;36.439;24;2;1
20211128;1200;36.460;24;2;1
20211129;1200;36.458;24;2;1
20211130;1200;36.450;24;2;1
20211201;1200;36.454;24;2;1
20211202;1200;36.459;24;2;1
20211203;1200;36.472;24;2;1
20211204;1200;36.477;24;2;1
20211205;1200;36.449;24;2;1
20211206;1200;36.450;24;2;1
20211207;1200;36.443;24;2;1
20211208;1200;36.391;24;2;1
20211209;1200;36.350;24;2;1
20211210;1200;36.342;24;2;1
20211211;1200;36.345;24;2;1
20211212;1200;36.350;24;2;1
20211213;1200;36.365;24;2;1
20211214;1200;36.417;24;2;1
20211215;1200;36.416;24;2;1
20211216;1200;36.413;24;2;1
20211217;1200;36.407;24;2;1
20211218;1200;36.395;24;2;1
20211219;1200;36.393;24;2;1
20211220;1200;36.394;24;2;1
20211221;1200;36.404;24;2;1
20211222;1200;36.400;24;2;1
20211223;1200;36.396;24;2;1
20211224;1200;36.392;24;2;1
20211225;1200;36.394;24;2;1
20211226;1200;36.392;24;2;1
20211227;1200;36.392;24;2;1
20211228;1200;36.384;24;2;1
20211229;1200;36.378;24;2;1
20211230;1200;36.383;24;2;1
20211231;1200;36.380;24;2;1
