YYYYMMDD;HHMM;SST;Q;S
20200826;1200;-9.99;0;0
20200827;1200;-9.99;0;0
20200828;1200;-9.99;0;0
20200829;1200;-9.99;0;0
20200830;1200;-9.99;0;0
20200831;1200;-9.99;0;0
20200901;1200;-9.99;0;0
20200902;1200;-9.99;0;0
20200903;1200;-9.99;0;0
20200904;1200;-9.99;0;0
20200905;1200;-9.99;0;0
20200906;1200;-9.99;0;0
20200907;1200;-9.99;0;0
20200908;1200;-9.99;0;0
20200909;1200;-9.99;0;0
20200910;1200;-9.99;0;0
20200911;1200;-9.99;0;0
20200912;1200;-9.99;0;0
20200913;1200;-9.99;0;0
20200914;1200;-9.99;0;0
20200915;1200;-9.99;0;0
20200916;1200;-9.99;0;0
20200917;1200;-9.99;0;0
20200918;1200;-9.99;0;0
20200919;1200;-9.99;0;0
20200920;1200;-9.99;0;0
20200921;1200;-9.99;0;0
20200922;1200;-9.99;0;0
20200923;1200;-9.99;0;0
20200924;1200;-9.99;0;0
20200925;1200;-9.99;0;0
20200926;1200;-9.99;0;0
20200927;1200;-9.99;0;0
20200928;1200;-9.99;0;0
20200929;1200;-9.99;0;0
20200930;1200;-9.99;0;0
20201001;1200;-9.99;0;0
20201002;1200;-9.99;0;0
20201003;1200;-9.99;0;0
20201004;1200;-9.99;0;0
20201005;1200;-9.99;0;0
20201006;1200;-9.99;0;0
20201007;1200;-9.99;0;0
20201008;1200;-9.99;0;0
20201009;1200;-9.99;0;0
20201010;1200;-9.99;0;0
20201011;1200;-9.99;0;0
20201012;1200;-9.99;0;0
20201013;1200;-9.99;0;0
20201014;1200;-9.99;0;0
20201015;1200;-9.99;0;0
20201016;1200;-9.99;0;0
20201017;1200;-9.99;0;0
20201018;1200;-9.99;0;0
20201019;1200;-9.99;0;0
20201020;1200;-9.99;0;0
20201021;1200;-9.99;0;0
20201022;1200;-9.99;0;0
20201023;1200;-9.99;0;0
20201024;1200;-9.99;0;0
20201025;1200;-9.99;0;0
20201026;1200;-9.99;0;0
20201027;1200;-9.99;0;0
20201028;1200;-9.99;0;0
20201029;1200;-9.99;0;0
20201030;1200;-9.99;0;0
20201031;1200;-9.99;0;0
20201101;1200;26.26;2;1
20201102;1200;26.33;2;1
20201103;1200;26.43;2;1
20201104;1200;26.47;2;1
20201105;1200;26.59;2;1
20201106;1200;26.61;2;1
20201107;1200;26.60;2;1
20201108;1200;26.54;2;1
20201109;1200;26.29;2;1
