YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20200310;1200;2.47;7.64;22.00;2;1
20200311;1200;0.33;1.52;12.00;2;1
20200312;1200;0.00;0.52;1.00;2;1
20200313;1200;0.28;2.47;4.00;2;1
20200314;1200;0.00;0.19;0.00;2;1
20200315;1200;0.00;0.33;0.00;2;1
20200316;1200;0.00;0.43;1.00;2;1
20200317;1200;0.00;0.24;0.00;2;1
20200318;1200;0.00;0.28;0.00;2;1
20200319;1200;0.00;0.19;0.00;2;1
20200320;1200;0.00;0.28;0.00;2;1
20200321;1200;0.19;26.73;4.00;2;1
20200322;1200;2.71;44.77;3.00;2;1
20200323;1200;3.61;26.68;28.00;2;1
20200324;1200;0.00;0.28;1.00;2;1
20200325;1200;0.00;0.19;0.00;2;1
20200326;1200;0.00;0.19;0.00;2;1
20200327;1200;0.00;0.19;0.00;2;1
20200328;1200;0.00;0.24;0.00;2;1
20200329;1200;0.00;0.28;0.00;2;1
20200330;1200;0.00;0.28;0.00;2;1
20200331;1200;0.00;0.24;0.00;2;1
20200401;1200;0.00;0.33;2.00;2;1
20200402;1200;0.05;0.62;1.00;2;1
20200403;1200;0.00;0.28;0.00;2;1
20200404;1200;0.00;0.38;1.00;2;1
20200405;1200;0.00;0.28;0.00;2;1
20200406;1200;0.00;0.24;0.00;2;1
20200407;1200;0.00;0.19;0.00;2;1
20200408;1200;0.00;0.28;0.00;2;1
20200409;1200;0.05;0.38;2.00;2;1
20200410;1200;0.00;0.09;0.00;2;1
20200411;1200;0.00;0.14;0.00;2;1
20200412;1200;0.85;6.74;9.00;2;1
20200413;1200;0.00;0.24;0.00;2;1
20200414;1200;0.00;0.33;1.00;2;1
20200415;1200;0.43;3.37;4.00;2;1
20200416;1200;1.04;21.93;8.00;2;1
20200417;1200;0.00;0.19;0.00;2;1
20200418;1200;0.00;0.19;0.00;2;1
20200419;1200;0.19;1.33;5.00;2;1
20200420;1200;1.57;9.54;21.00;2;1
20200421;1200;0.00;0.33;1.00;2;1
20200422;1200;0.00;0.24;1.00;2;1
20200423;1200;0.00;0.28;1.00;2;1
20200424;1200;0.00;0.33;1.00;2;1
20200425;1200;0.00;0.47;3.00;2;1
20200426;1200;0.00;0.76;0.00;2;1
20200427;1200;0.14;1.38;2.00;2;1
20200428;1200;0.00;0.28;0.00;2;1
20200429;1200;0.00;0.14;0.00;2;1
20200430;1200;0.00;0.38;0.00;2;1
20200501;1200;0.00;0.09;0.00;2;1
20200502;1200;0.09;0.81;3.00;2;1
20200503;1200;0.05;0.76;2.00;2;1
20200504;1200;0.00;0.28;0.00;2;1
20200505;1200;0.00;0.19;0.00;2;1
20200506;1200;0.00;0.14;0.00;2;1
20200507;1200;0.00;0.19;0.00;2;1
20200508;1200;0.33;1.71;8.00;2;1
20200509;1200;0.09;0.71;5.00;2;1
20200510;1200;0.00;0.24;0.00;2;1
20200511;1200;0.00;0.28;1.00;2;1
20200512;1200;0.00;0.19;0.00;2;1
20200513;1200;0.09;1.19;1.00;2;1
20200514;1200;0.00;0.28;0.00;2;1
20200515;1200;0.00;0.24;1.00;2;1
20200516;1200;0.00;0.14;0.00;2;1
20200517;1200;0.09;0.85;2.00;2;1
20200518;1200;0.00;0.19;0.00;2;1
20200519;1200;0.00;0.19;0.00;2;1
20200520;1200;0.00;0.28;1.00;2;1
20200521;1200;0.00;0.24;0.00;2;1
20200522;1200;0.00;0.24;0.00;2;1
20200523;1200;0.00;0.19;0.00;2;1
20200524;1200;0.00;0.28;0.00;2;1
20200525;1200;0.00;0.19;0.00;2;1
20200526;1200;0.00;0.19;0.00;2;1
20200527;1200;0.00;0.28;0.00;2;1
20200528;1200;0.00;0.33;1.00;2;1
20200529;1200;0.00;0.43;1.00;2;1
20200530;1200;0.00;0.28;1.00;2;1
20200531;1200;0.00;0.24;1.00;2;1
20200601;1200;0.00;0.14;0.00;2;1
20200602;1200;0.00;0.24;0.00;2;1
20200603;1200;1.47;5.32;13.00;2;1
20200604;1200;0.00;0.81;2.00;2;1
20200605;1200;-0.05;1.19;1.00;2;1
20200606;1200;-0.05;0.71;2.00;2;1
20200607;1200;0.00;1.04;2.00;2;1
20200608;1200;0.28;8.40;11.00;2;1
20200609;1200;0.00;0.05;0.00;2;1
20200610;1200;0.09;1.19;1.00;2;1
20200611;1200;0.00;0.14;0.00;2;1
20200612;1200;0.00;0.47;0.00;2;1
20200613;1200;0.00;0.14;0.00;2;1
20200614;1200;0.00;0.14;0.00;2;1
20200615;1200;0.05;1.04;1.00;2;1
20200616;1200;0.00;0.38;0.00;2;1
20200617;1200;0.00;0.52;1.00;2;1
20200618;1200;0.00;0.28;0.00;2;1
20200619;1200;0.00;0.14;0.00;2;1
20200620;1200;0.00;0.66;0.00;2;1
20200621;1200;0.00;0.09;0.00;2;1
20200622;1200;-0.05;0.81;0.00;2;1
20200623;1200;0.05;0.38;1.00;2;1
20200624;1200;0.00;0.09;0.00;2;1
20200625;1200;0.00;0.52;1.00;2;1
20200626;1200;-0.05;0.66;0.00;2;1
20200627;1200;0.19;1.33;7.00;2;1
20200628;1200;0.43;2.04;8.00;2;1
20200629;1200;0.38;2.99;6.00;2;1
20200630;1200;0.00;0.28;0.00;2;1
20200701;1200;0.00;0.24;0.00;2;1
20200702;1200;0.00;0.28;1.00;2;1
20200703;1200;0.00;0.33;1.00;2;1
20200704;1200;0.09;1.00;2.00;2;1
20200705;1200;0.66;4.41;7.00;2;1
20200706;1200;0.00;0.57;0.00;2;1
20200707;1200;-0.05;0.33;0.00;2;1
20200708;1200;-0.05;0.38;1.00;2;1
20200709;1200;-0.05;0.28;0.00;2;1
20200710;1200;0.00;0.38;1.00;2;1
20200711;1200;-0.05;0.33;1.00;2;1
20200712;1200;-0.05;0.38;1.00;2;1
20200713;1200;0.24;2.14;2.00;2;1
20200714;1200;0.00;0.28;0.00;2;1
20200715;1200;0.00;0.33;0.00;2;1
20200716;1200;0.00;0.57;0.00;2;1
20200717;1200;-0.05;0.76;0.00;2;1
20200718;1200;-0.05;0.76;0.00;2;1
20200719;1200;0.09;0.81;2.00;2;1
20200720;1200;0.00;0.33;1.00;2;1
20200721;1200;-0.05;0.47;1.00;2;1
20200722;1200;0.00;0.33;0.00;2;1
20200723;1200;-0.05;0.43;0.00;2;1
20200724;1200;0.00;0.52;1.00;2;1
20200725;1200;0.05;0.57;2.00;2;1
20200726;1200;-0.05;0.47;2.00;2;1
20200727;1200;-0.05;0.52;3.00;2;1
20200728;1200;-0.05;0.47;0.00;2;1
20200729;1200;0.00;0.52;0.00;2;1
20200730;1200;0.00;0.71;0.00;2;1
20200731;1200;-0.05;0.57;1.00;2;1
20200801;1200;-0.05;0.81;0.00;2;1
20200802;1200;0.00;0.95;1.00;2;1
20200803;1200;-0.05;0.47;0.00;2;1
20200804;1200;-0.05;0.43;2.00;2;1
20200805;1200;-0.05;0.33;1.00;2;1
20200806;1200;-0.05;0.33;1.00;2;1
20200807;1200;-0.05;0.28;0.00;2;1
20200808;1200;-0.05;0.28;0.00;2;1
20200809;1200;-0.05;0.28;1.00;2;1
20200810;1200;-0.05;0.28;1.00;2;1
20200811;1200;-0.05;0.28;0.00;2;1
20200812;1200;-0.05;0.28;0.00;2;1
20200813;1200;0.05;0.62;3.00;2;1
20200814;1200;-0.05;0.28;0.00;2;1
20200815;1200;-0.05;0.28;0.00;2;1
20200816;1200;0.00;0.33;1.00;2;1
20200817;1200;-0.05;0.24;0.00;2;1
20200818;1200;-0.05;0.24;0.00;2;1
20200819;1200;-0.05;0.24;0.00;2;1
20200820;1200;0.00;0.47;0.00;2;1
