YYYYMMDD;HHMM;DYN;Q
20190330;1200;109.59;2
20190331;1200;109.62;2
20190401;1200;109.64;2
20190402;1200;109.31;2
20190403;1200;109.62;2
20190404;1200;109.52;2
20190405;1200;109.70;2
20190406;1200;110.38;2
20190407;1200;110.60;2
20190408;1200;110.64;2
20190409;1200;110.73;2
20190410;1200;110.55;2
20190411;1200;110.58;2
20190412;1200;110.29;2
20190413;1200;110.15;2
20190414;1200;110.30;2
20190415;1200;110.76;2
20190416;1200;110.57;2
20190417;1200;110.63;2
20190418;1200;110.59;2
20190419;1200;110.56;2
20190420;1200;111.03;2
20190421;1200;111.12;2
20190422;1200;110.30;2
20190423;1200;111.00;2
20190424;1200;110.60;2
20190425;1200;109.98;2
20190426;1200;110.23;2
20190427;1200;109.76;2
20190428;1200;109.51;2
20190429;1200;109.79;2
20190430;1200;109.26;2
20190501;1200;108.82;2
20190502;1200;108.86;2
20190503;1200;108.84;2
20190504;1200;108.33;2
20190505;1200;108.15;2
20190506;1200;107.88;2
20190507;1200;106.89;2
20190508;1200;106.30;2
20190509;1200;105.86;2
20190510;1200;105.69;2
20190511;1200;104.83;2
20190512;1200;104.35;2
20190513;1200;104.27;2
20190514;1200;104.24;2
20190515;1200;103.54;2
20190516;1200;103.30;2
20190517;1200;103.06;2
20190518;1200;102.46;2
20190519;1200;102.65;2
20190520;1200;102.67;2
20190521;1200;102.97;2
20190522;1200;103.16;2
20190523;1200;103.27;2
20190524;1200;102.93;2
20190525;1200;103.23;2
20190526;1200;103.28;2
20190527;1200;103.40;2
20190528;1200;103.56;2
20190529;1200;103.88;2
20190530;1200;103.53;2
20190531;1200;103.55;2
20190601;1200;103.66;2
20190602;1200;103.76;2
20190603;1200;103.86;2
20190604;1200;103.91;2
20190605;1200;104.24;2
20190606;1200;103.52;2
20190607;1200;102.63;2
20190608;1200;102.72;2
20190609;1200;102.10;2
20190610;1200;101.78;2
20190611;1200;101.47;2
20190612;1200;101.76;2
20190613;1200;101.65;2
20190614;1200;102.17;2
20190615;1200;102.34;2
20190616;1200;102.13;2
20190617;1200;101.70;2
20190618;1200;101.20;2
20190619;1200;100.64;2
20190620;1200;100.55;2
20190621;1200;100.42;2
20190622;1200;100.03;2
20190623;1200;100.17;2
20190624;1200;100.27;2
20190625;1200;99.88;2
20190626;1200;99.94;2
20190627;1200;100.21;2
20190628;1200;100.56;2
20190629;1200;101.16;2
20190630;1200;101.96;2
20190701;1200;102.48;2
20190702;1200;102.69;2
20190703;1200;102.88;2
20190704;1200;102.76;2
20190705;1200;103.38;2
20190706;1200;103.35;2
20190707;1200;103.06;2
20190708;1200;102.82;2
20190709;1200;102.50;2
20190710;1200;102.07;2
20190711;1200;102.48;2
20190712;1200;102.03;2
20190713;1200;101.71;2
20190714;1200;102.10;2
20190715;1200;102.51;2
20190716;1200;102.43;2
20190717;1200;102.63;2
20190718;1200;102.02;2
20190719;1200;101.66;2
20190720;1200;101.48;2
20190721;1200;100.39;2
20190722;1200;100.22;2
20190723;1200;100.04;2
20190724;1200;99.63;2
20190725;1200;99.46;2
20190726;1200;99.43;2
20190727;1200;99.85;2
20190728;1200;99.57;2
20190729;1200;99.03;2
20190730;1200;98.68;2
20190731;1200;98.37;2
20190801;1200;98.67;2
20190802;1200;98.25;2
20190803;1200;98.29;2
20190804;1200;98.38;2
20190805;1200;98.43;2
20190806;1200;98.00;2
20190807;1200;98.00;2
20190808;1200;97.78;2
20190809;1200;97.15;2
20190810;1200;96.89;2
20190811;1200;97.06;2
20190812;1200;97.11;2
20190813;1200;97.00;2
20190814;1200;97.08;2
20190815;1200;97.06;2
20190816;1200;96.48;2
20190817;1200;96.30;2
20190818;1200;96.50;2
20190819;1200;95.98;2
20190820;1200;95.79;2
20190821;1200;95.80;2
20190822;1200;95.93;2
20190823;1200;95.68;2
20190824;1200;95.73;2
20190825;1200;96.17;2
20190826;1200;96.19;2
20190827;1200;96.37;2
20190828;1200;96.53;2
20190829;1200;97.07;2
20190830;1200;97.63;2
20190831;1200;98.09;2
20190901;1200;98.34;2
20190902;1200;98.33;2
20190903;1200;98.51;2
20190904;1200;98.57;2
20190905;1200;98.57;2
20190906;1200;98.44;2
20190907;1200;97.93;2
20190908;1200;97.95;2
20190909;1200;98.19;2
20190910;1200;98.32;2
20190911;1200;98.34;2
20190912;1200;98.49;2
20190913;1200;98.29;2
20190914;1200;98.29;2
20190915;1200;98.53;2
20190916;1200;98.63;2
20190917;1200;98.47;2
20190918;1200;98.76;2
20190919;1200;99.23;2
20190920;1200;99.00;2
20190921;1200;98.78;2
20190922;1200;98.82;2
20190923;1200;98.81;2
20190924;1200;98.63;2
20190925;1200;98.57;2
20190926;1200;98.48;2
20190927;1200;98.36;2
20190928;1200;98.40;2
20190929;1200;98.27;2
20190930;1200;98.10;2
20191001;1200;98.67;2
20191002;1200;98.97;2
20191003;1200;98.79;2
20191004;1200;98.87;2
20191005;1200;99.50;2
20191006;1200;99.60;2
20191007;1200;99.84;2
20191008;1200;99.94;2
20191009;1200;100.21;2
20191010;1200;100.27;2
20191011;1200;100.45;2
20191012;1200;100.60;2
20191013;1200;100.39;2
20191014;1200;100.44;2
20191015;1200;100.58;2
20191016;1200;100.27;2
20191017;1200;100.15;2
20191018;1200;100.27;2
20191019;1200;100.11;2
20191020;1200;100.23;2
20191021;1200;100.15;2
20191022;1200;99.86;2
20191023;1200;99.61;2
20191024;1200;99.32;2
20191025;1200;-9.99;2
20191026;1200;-9.99;2
20191027;1200;-9.99;2
20191028;1200;-9.99;2
20191029;1200;-9.99;2
20191030;1200;-9.99;2
20191031;1200;-9.99;2
20191101;1200;-9.99;2
20191102;1200;-9.99;2
20191103;1200;-9.99;2
20191104;1200;-9.99;2
20191105;1200;-9.99;2
20191106;1200;-9.99;2
20191107;1200;-9.99;2
20191108;1200;-9.99;2
20191109;1200;-9.99;2
20191110;1200;-9.99;2
20191111;1200;-9.99;2
20191112;1200;-9.99;2
20191113;1200;-9.99;2
20191114;1200;-9.99;2
20191115;1200;-9.99;2
20191116;1200;-9.99;2
20191117;1200;-9.99;2
20191118;1200;-9.99;2
20191119;1200;-9.99;2
20191120;1200;-9.99;2
20191121;1200;-9.99;2
20191122;1200;-9.99;2
20191123;1200;-9.99;2
20191124;1200;-9.99;2
20191125;1200;-9.99;2
20191126;1200;-9.99;2
20191127;1200;-9.99;2
20191128;1200;-9.99;2
20191129;1200;-9.99;2
20191130;1200;-9.99;2
20191201;1200;-9.99;2
20191202;1200;-9.99;2
20191203;1200;-9.99;2
20191204;1200;-9.99;2
20191205;1200;-9.99;2
20191206;1200;-9.99;2
20191207;1200;-9.99;2
20191208;1200;-9.99;2
20191209;1200;-9.99;2
20191210;1200;-9.99;2
20191211;1200;-9.99;2
20191212;1200;-9.99;2
20191213;1200;-9.99;2
20191214;1200;-9.99;2
20191215;1200;-9.99;2
20191216;1200;-9.99;2
20191217;1200;-9.99;2
20191218;1200;-9.99;2
20191219;1200;-9.99;2
20191220;1200;-9.99;2
20191221;1200;-9.99;2
20191222;1200;-9.99;2
20191223;1200;-9.99;2
20191224;1200;-9.99;2
20191225;1200;-9.99;2
20191226;1200;-9.99;2
20191227;1200;-9.99;2
20191228;1200;-9.99;2
20191229;1200;-9.99;2
20191230;1200;-9.99;2
20191231;1200;-9.99;2
