YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20221012;1200;-5.9;2.3;6.3;291.0;22;11
20221013;1200;-5.1;1.8;5.4;289.4;22;11
20221014;1200;-6.4;1.8;6.6;286.0;22;11
20221015;1200;-5.5;1.8;5.8;288.1;22;11
20221016;1200;-6.5;2.0;6.8;287.4;22;11
20221017;1200;-4.6;-1.1;4.7;256.3;22;11
20221018;1200;-4.6;-0.5;4.7;264.4;22;11
20221019;1200;-6.5;0.2;6.5;271.8;22;11
20221020;1200;-7.6;-0.3;7.6;267.8;22;11
20221021;1200;-6.4;-1.5;6.6;256.6;22;11
20221022;1200;-5.9;-3.3;6.7;240.8;22;11
20221023;1200;-4.5;-3.6;5.7;231.5;22;11
20221024;1200;-4.8;-2.8;5.6;239.7;22;11
20221025;1200;-3.1;-2.5;4.0;230.5;22;11
20221026;1200;-2.2;-1.2;2.6;240.8;22;11
20221027;1200;-3.0;-1.4;3.3;246.0;22;11
20221028;1200;-4.8;-2.4;5.4;243.8;22;11
20221029;1200;-5.8;-2.1;6.2;249.8;22;11
20221030;1200;-5.9;-0.8;6.0;261.9;22;11
20221031;1200;-5.7;-0.9;5.7;260.5;22;11
20221101;1200;-5.5;-2.2;6.0;248.0;22;11
20221102;1200;-4.7;-1.6;5.0;250.8;22;11
20221103;1200;-4.5;-1.8;4.8;248.5;22;11
20221104;1200;-5.3;1.9;5.7;289.5;22;11
20221105;1200;0.2;6.1;6.1;1.7;22;11
20221106;1200;-0.1;6.6;6.6;359.4;22;11
20221107;1200;-0.5;6.1;6.1;355.6;22;11
20221108;1200;-1.0;4.8;4.9;348.3;22;11
20221109;1200;-4.4;-1.5;4.6;251.2;22;11
20221110;1200;-4.3;-0.3;4.3;266.2;22;11
20221111;1200;-4.2;0.7;4.3;278.9;22;11
20221112;1200;-3.7;0.9;3.8;284.2;22;11
20221113;1200;-4.8;-0.1;4.8;269.2;22;11
20221114;1200;-5.4;-0.1;5.4;268.6;22;11
20221115;1200;-5.5;0.1;5.5;270.6;22;11
20221116;1200;-5.9;0.5;5.9;275.2;22;11
20221117;1200;-5.9;-0.8;6.0;261.9;22;11
20221118;1200;-4.8;-0.5;4.8;263.6;22;11
20221119;1200;-3.2;-1.9;3.7;239.3;22;11
20221120;1200;-5.6;0.4;5.6;274.4;22;11
20221121;1200;-6.3;2.1;6.6;288.5;22;11
20221122;1200;-5.4;2.1;5.8;291.0;22;11
20221123;1200;-5.8;1.0;5.9;279.7;22;11
20221124;1200;-6.8;-0.6;6.9;265.0;22;11
20221125;1200;-7.6;-0.3;7.6;267.8;22;11
20221126;1200;-8.2;0.3;8.2;271.9;22;11
20221127;1200;-7.8;0.3;7.8;271.9;22;11
20221128;1200;-7.9;1.1;8.0;277.7;22;11
20221129;1200;-7.3;-0.8;7.4;263.4;22;11
20221130;1200;-8.0;-0.3;8.0;268.1;22;11
20221201;1200;-8.7;0.9;8.8;276.1;22;11
20221202;1200;-8.1;2.5;8.5;287.2;22;11
20221203;1200;-7.0;3.5;7.8;296.2;22;11
20221204;1200;-6.8;2.9;7.4;293.2;22;11
20221205;1200;-6.6;1.3;6.7;281.1;22;11
20221206;1200;-6.5;1.6;6.7;283.6;22;11
20221207;1200;-6.4;-0.6;6.4;264.4;22;11
20221208;1200;-6.0;-2.0;6.3;251.5;22;11
20221209;1200;-4.2;-3.7;5.6;228.9;22;11
20221210;1200;-3.7;-3.9;5.4;223.4;22;11
20221211;1200;-3.6;-3.7;5.1;224.6;22;11
20221212;1200;-3.8;-4.6;6.0;219.4;22;11
20221213;1200;-3.5;-5.6;6.6;212.3;22;11
20221214;1200;-0.3;-4.1;4.1;183.9;22;11
20221215;1200;-1.2;2.2;2.6;330.8;22;11
20221216;1200;-2.6;-1.9;3.2;233.9;22;11
20221217;1200;-2.8;-4.0;4.9;215.0;22;11
20221218;1200;-2.7;-3.7;4.6;215.9;22;11
20221219;1200;-3.3;-2.2;3.9;236.5;22;11
20221220;1200;-4.0;-2.5;4.7;238.2;22;11
20221221;1200;-3.0;-5.4;6.1;209.1;22;11
20221222;1200;-0.7;-4.7;4.7;188.3;22;11
20221223;1200;-2.6;-3.0;4.0;220.8;22;11
20221224;1200;-4.7;-1.8;5.0;248.4;22;11
20221225;1200;-6.8;-0.1;6.8;268.8;22;11
20221226;1200;-6.7;-0.3;6.8;267.2;22;11
20221227;1200;-5.7;-0.9;5.7;260.5;22;11
20221228;1200;-6.4;-1.5;6.6;256.6;22;11
20221229;1200;-5.6;-2.0;6.0;249.9;22;11
20221230;1200;-4.6;-1.6;4.8;251.0;22;11
20221231;1200;-5.8;-0.6;5.8;264.4;22;11
